Collection,Sym State,Treatment,Melanin_mg
Summer,Aposymbiotic,Ambient,0.013021639
Summer,Aposymbiotic,Ambient,0.014928487
Summer,Aposymbiotic,Ambient,0.009283708
Summer,Aposymbiotic,Ambient,0.006804172
Summer,Aposymbiotic,Ambient,0.014920379
Summer,Aposymbiotic,Ambient,0.018725108
Summer,Aposymbiotic,Ambient,0.010057244
Summer,Aposymbiotic,Ambient,0.007911965
Summer,Aposymbiotic,Ambient,0.007676489
Summer,Aposymbiotic,Ambient,0.006879694
Summer,Aposymbiotic,Ambient,0.006921189
Summer,Aposymbiotic,Ambient,0.002871776
Summer,Aposymbiotic,Ambient,0.005036467
Summer,Aposymbiotic,Ambient,0.008047979
Summer,Aposymbiotic,Ambient,0.004592005
Summer,Aposymbiotic,Ambient,0.00221114
Summer,Aposymbiotic,Ambient,0.001997121
Summer,Symbiotic,Ambient,0.007278124
Summer,Symbiotic,Ambient,0.008773707
Summer,Symbiotic,Ambient,0.01779929
Summer,Symbiotic,Ambient,0.005029274
Summer,Symbiotic,Ambient,0.011635865
Summer,Symbiotic,Ambient,0.015659662
Summer,Symbiotic,Ambient,0.01337595
Summer,Symbiotic,Ambient,0.016399765
Summer,Symbiotic,Ambient,0.015076954
Summer,Symbiotic,Ambient,0.009003342
Summer,Symbiotic,Ambient,0.009121103
Summer,Symbiotic,Ambient,0.017996844
Summer,Symbiotic,Ambient,0.008829272
Summer,Symbiotic,Ambient,0.009200501
Summer,Symbiotic,Ambient,0.011121298
Summer,Symbiotic,Ambient,0.01303971
Summer,Symbiotic,Ambient,0.00294354
Summer,Symbiotic,Ambient,0.041468646
Summer,Symbiotic,Ambient,0.020686742
Summer,Symbiotic,Ambient,0.010689157
Summer,Symbiotic,Ambient,0.011954286
Summer,Symbiotic,Ambient,0.011542854
Summer,Symbiotic,Ambient,0.031574715
Summer,Symbiotic,Ambient,0.003631435
Summer,Aposymbiotic,Elevated,0.004565243
Summer,Aposymbiotic,Elevated,0.016339135
Summer,Aposymbiotic,Elevated,0.021172535
Summer,Aposymbiotic,Elevated,0.007947837
Summer,Aposymbiotic,Elevated,0.003668584
Summer,Aposymbiotic,Elevated,0.010203654
Summer,Aposymbiotic,Elevated,0.015341126
Summer,Aposymbiotic,Elevated,0.002674505
Summer,Aposymbiotic,Elevated,0.004508989
Summer,Aposymbiotic,Elevated,0.017641299
Summer,Aposymbiotic,Elevated,0.028127098
Summer,Aposymbiotic,Elevated,0.002084865
Summer,Aposymbiotic,Elevated,0.007017575
Summer,Aposymbiotic,Elevated,0.033685209
Summer,Aposymbiotic,Elevated,0.001294238
Summer,Aposymbiotic,Elevated,0.00285954
Summer,Symbiotic,Elevated,0.027101364
Summer,Symbiotic,Elevated,0.004445293
Summer,Symbiotic,Elevated,0.011205896
Summer,Symbiotic,Elevated,0.007046331
Summer,Symbiotic,Elevated,0.001729898
Summer,Symbiotic,Elevated,0.015751513
Summer,Symbiotic,Elevated,0.021940385
Summer,Symbiotic,Elevated,0.010365912
Summer,Symbiotic,Elevated,0.012232612
Summer,Symbiotic,Elevated,0.008352639
Summer,Symbiotic,Elevated,0.006207561
Summer,Symbiotic,Elevated,0.002967711
Summer,Symbiotic,Elevated,0.016734671
Summer,Symbiotic,Elevated,0.009768089
Summer,Symbiotic,Elevated,0.006363717
Summer,Symbiotic,Elevated,0.006837752
Summer,Symbiotic,Elevated,0.009413593
Summer,Symbiotic,Elevated,0.013822913
Summer,Symbiotic,Elevated,0.006079841
Summer,Symbiotic,Elevated,0.006932943
Summer,Symbiotic,Elevated,0.012740859
Summer,Symbiotic,Elevated,0.012246286
Summer,Symbiotic,Elevated,0.011545382
Summer,Symbiotic,Elevated,0.007196753
Summer,Symbiotic,Elevated,0.008566173
Winter,Aposymbiotic,Ambient,0.008536166
Winter,Aposymbiotic,Ambient,0.014924255
Winter,Aposymbiotic,Ambient,0.004807809
Winter,Aposymbiotic,Ambient,0.008793015
Winter,Aposymbiotic,Ambient,0.005833555
Winter,Aposymbiotic,Ambient,0.008908888
Winter,Aposymbiotic,Ambient,0.006257877
Winter,Aposymbiotic,Ambient,0.010940382
Winter,Aposymbiotic,Ambient,0.007337168
Winter,Aposymbiotic,Ambient,0.006573044
Winter,Aposymbiotic,Ambient,0.00196022
Winter,Symbiotic,Ambient,0.019969008
Winter,Symbiotic,Ambient,0.013007795
Winter,Symbiotic,Ambient,0.012858084
Winter,Symbiotic,Ambient,0.017039922
Winter,Symbiotic,Ambient,0.014029181
